met,split,value,src,trg,model
rmse,1,0.10382156014772419,CTRPv2,CCLE,graphdrp
rmse,2,0.10174675652050799,CTRPv2,CCLE,graphdrp
rmse,3,0.09840345949418859,CTRPv2,CCLE,graphdrp
rmse,4,0.10420304372153445,CTRPv2,CCLE,graphdrp
rmse,5,0.09938841290307836,CTRPv2,CCLE,graphdrp
rmse,6,0.1003568570408686,CTRPv2,CCLE,graphdrp
rmse,7,0.10277958044640556,CTRPv2,CCLE,graphdrp
rmse,8,0.10677627671070218,CTRPv2,CCLE,graphdrp
rmse,9,0.10455151363847905,CTRPv2,CCLE,graphdrp
pcc,0,0.7990428348752812,CTRPv2,CCLE,graphdrp
pcc,1,0.7795621018478025,CTRPv2,CCLE,graphdrp
pcc,2,0.7872406276883567,CTRPv2,CCLE,graphdrp
pcc,3,0.8038698415077576,CTRPv2,CCLE,graphdrp
pcc,4,0.7850856127703572,CTRPv2,CCLE,graphdrp
pcc,5,0.8009076683822183,CTRPv2,CCLE,graphdrp
pcc,6,0.7994387875289729,CTRPv2,CCLE,graphdrp
pcc,7,0.7905035441225337,CTRPv2,CCLE,graphdrp
pcc,8,0.7712545233623351,CTRPv2,CCLE,graphdrp
pcc,9,0.7891258296875833,CTRPv2,CCLE,graphdrp
scc,0,0.6733991007614128,CTRPv2,CCLE,graphdrp
scc,1,0.659512851161547,CTRPv2,CCLE,graphdrp
scc,2,0.6629811410543981,CTRPv2,CCLE,graphdrp
scc,3,0.6896444235303878,CTRPv2,CCLE,graphdrp
scc,4,0.6679865909551194,CTRPv2,CCLE,graphdrp
scc,5,0.6908377310476961,CTRPv2,CCLE,graphdrp
scc,6,0.6774834832534159,CTRPv2,CCLE,graphdrp
scc,7,0.6688276234450787,CTRPv2,CCLE,graphdrp
scc,8,0.6257457654252451,CTRPv2,CCLE,graphdrp
scc,9,0.6631977547465073,CTRPv2,CCLE,graphdrp
r2,0,0.6132796629279473,CTRPv2,CCLE,graphdrp
r2,1,0.5850530070302687,CTRPv2,CCLE,graphdrp
r2,2,0.6014721580799167,CTRPv2,CCLE,graphdrp
r2,3,0.6272323174329253,CTRPv2,CCLE,graphdrp
r2,4,0.5819980291766942,CTRPv2,CCLE,graphdrp
r2,5,0.6197326561469668,CTRPv2,CCLE,graphdrp
r2,6,0.6122858748642662,CTRPv2,CCLE,graphdrp
r2,7,0.5933402389625044,CTRPv2,CCLE,graphdrp
r2,8,0.5610984991728777,CTRPv2,CCLE,graphdrp
r2,9,0.5791976375054899,CTRPv2,CCLE,graphdrp
mse,0,0.00288266705295472,CTRPv2,CTRPv2,graphdrp
mse,1,0.00298969050231974,CTRPv2,CTRPv2,graphdrp
mse,2,0.0029886429950814527,CTRPv2,CTRPv2,graphdrp
mse,3,0.0033036517828862457,CTRPv2,CTRPv2,graphdrp
mse,4,0.003074839004430181,CTRPv2,CTRPv2,graphdrp
mse,5,0.0029413677235148425,CTRPv2,CTRPv2,graphdrp
mse,6,0.0031996325368031818,CTRPv2,CTRPv2,graphdrp
mse,7,0.003018937585990372,CTRPv2,CTRPv2,graphdrp
mse,8,0.002977038184608944,CTRPv2,CTRPv2,graphdrp
mse,9,0.0029449955598967415,CTRPv2,CTRPv2,graphdrp
rmse,0,0.05369047450856362,CTRPv2,CTRPv2,graphdrp
rmse,1,0.05467806234971883,CTRPv2,CTRPv2,graphdrp
rmse,2,0.05466848264842781,CTRPv2,CTRPv2,graphdrp
rmse,3,0.057477402367245564,CTRPv2,CTRPv2,graphdrp
rmse,4,0.055451230864879644,CTRPv2,CTRPv2,graphdrp
rmse,5,0.054234377690859904,CTRPv2,CTRPv2,graphdrp
rmse,6,0.05656529445519737,CTRPv2,CTRPv2,graphdrp
rmse,7,0.054944859504692266,CTRPv2,CTRPv2,graphdrp
rmse,8,0.05456224138182873,CTRPv2,CTRPv2,graphdrp
rmse,9,0.05426781329569805,CTRPv2,CTRPv2,graphdrp
pcc,0,0.9279737169407175,CTRPv2,CTRPv2,graphdrp
pcc,1,0.9277136041842047,CTRPv2,CTRPv2,graphdrp
pcc,2,0.9263691991440399,CTRPv2,CTRPv2,graphdrp
pcc,3,0.9190499211209868,CTRPv2,CTRPv2,graphdrp
pcc,4,0.9248528736593049,CTRPv2,CTRPv2,graphdrp
pcc,5,0.9279929319956028,CTRPv2,CTRPv2,graphdrp
pcc,6,0.9211333230737485,CTRPv2,CTRPv2,graphdrp
pcc,7,0.9247178013649405,CTRPv2,CTRPv2,graphdrp
pcc,8,0.9255954943297099,CTRPv2,CTRPv2,graphdrp
pcc,9,0.9264996761544922,CTRPv2,CTRPv2,graphdrp
scc,0,0.8776956170607157,CTRPv2,CTRPv2,graphdrp
scc,1,0.8806463295157083,CTRPv2,CTRPv2,graphdrp
scc,2,0.8778439280194498,CTRPv2,CTRPv2,graphdrp
scc,3,0.8682985278316107,CTRPv2,CTRPv2,graphdrp
scc,4,0.8763584642364901,CTRPv2,CTRPv2,graphdrp
scc,5,0.8750565506071499,CTRPv2,CTRPv2,graphdrp
scc,6,0.8699707454145571,CTRPv2,CTRPv2,graphdrp
scc,7,0.8731433421148461,CTRPv2,CTRPv2,graphdrp
scc,8,0.8744973758097823,CTRPv2,CTRPv2,graphdrp
scc,9,0.8744113641809579,CTRPv2,CTRPv2,graphdrp
r2,0,0.860376234872462,CTRPv2,CTRPv2,graphdrp
r2,1,0.8585330736485153,CTRPv2,CTRPv2,graphdrp
r2,2,0.8574251463745314,CTRPv2,CTRPv2,graphdrp
r2,3,0.8435506514215296,CTRPv2,CTRPv2,graphdrp
r2,4,0.8546561594638387,CTRPv2,CTRPv2,graphdrp
r2,5,0.8595182157218311,CTRPv2,CTRPv2,graphdrp
r2,6,0.8465122073586687,CTRPv2,CTRPv2,graphdrp
r2,7,0.8544207605825045,CTRPv2,CTRPv2,graphdrp
r2,8,0.8551090707868417,CTRPv2,CTRPv2,graphdrp
r2,9,0.857733068166566,CTRPv2,CTRPv2,graphdrp
mse,0,0.02379158113888566,CTRPv2,GDSCv1,graphdrp
mse,1,0.021986693196231248,CTRPv2,GDSCv1,graphdrp
